food_id,kfct_code,food_name,category,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,iron_mg,calcium_mg,vitamin_a_rae_ug,folate_ug,zinc_mg,vitamin_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,water_g,ash_g,ash_g.1
1,1001,amaranth whole grain dry raw,cereals,360.0,14.7,5.6,59.2,7.5,9.5,162,0,28,3.5,0.0,0.07,0.21,0.58,0.0,0.0,270.0,397,413,32.0,10.2,3.1,
2,1002,amaranth whole grain flour,cereals,365.0,13.8,6.3,59.6,7.1,8.9,161,0,10,3.2,0.0,0.08,0.15,0.7,0.0,0.0,259.0,405,461,32.0,10.2,3.0,
3,1003,biscuit savoury,cereals,492.0,6.6,24.9,58.9,3.3,1.4,38,8,21,0.83,0.0,0.16,0.06,1.3,0.0,0.0,24.0,177,161,637.0,4.5,1.9,
4,1004,biscuit sweet,cereals,460.0,6.1,17.2,69.3,2.1,1.4,45,4,23,0.6,0.0,0.09,0.03,0.7,0.0,0.0,19.0,98,158,289.0,4.3,1.1,
5,1005,bread brown,cereals,245.0,8.0,1.5,46.9,5.9,2.6,56,0,37,1.3,0.0,0.22,0.01,3.4,0.0,0.0,8.0,134,191,44.0,36.0,1.7,
6,1006,bread sweet,cereals,368.0,8.3,14.4,50.6,1.5,1.9,80,7,33,0.8,0.6,0.2,0.16,2.3,0.0,0.0,18.0,147,227,369.0,23.5,1.8,
7,1007,bread white,cereals,249.0,7.7,1.9,48.8,3.1,1.7,37,0,28,0.8,0.0,0.16,0.06,3.7,0.0,0.0,12.0,79,120,46.0,36.9,1.7,
8,1008,breakfast cereal flakes of corn fortified,cereals,372.0,7.5,0.7,82.6,2.9,10.2,3,112,40,0.2,0.0,1.0,1.5,17.7,0.0,0.0,13.0,45,110,109.0,3.5,2.8,
9,1009,breakfast cereal flakes of corn,cereals,373.0,7.5,0.7,82.6,2.9,10.2,3,112,40,0.2,0.0,1.0,1.5,17.7,0.0,0.0,13.0,45,110,109.0,3.5,2.8,
10,1010,breakfast cereal wheat biscuits weetabix type,cereals,366.0,11.5,1.9,70.7,9.9,7.6,30,0,153,5.1,0.0,1.0,1.2,15.0,0.0,0.0,125.0,308,392,360.0,3.8,2.1,
11,1011,buns currant,cereals,306.0,6.8,5.0,52.8,2.9,2.5,90,1,12,0.6,0.0,0.2,0.03,2.1,0.0,0.0,27.0,100,210,100.0,29.0,1.5,
12,1012,cake or cupcake plain butter cake commercial,cereals,363.0,7.1,15.3,48.8,1.1,1.0,63,5,8,0.5,0.0,0.06,0.14,0.7,0.0,0.0,14.0,30,110,480.0,25.9,1.9,
13,1013,cake fruit,cereals,368.0,4.0,12.3,58.8,3.1,2.0,75,8,0,0.5,0.0,0.1,0.1,0.2,0.0,0.0,23.0,106,347,170.0,20.0,1.8,
14,1014,cake sponge homemade,cereals,465.0,6.5,26.7,49.1,1.1,1.4,140,3,9,0.6,0.0,0.04,0.13,0.5,0.0,0.0,12.0,24,105,350.0,15.0,1.6,
